Cluster path Databricks,Window number(length),Total tweets,No of positive Tweets,Number of negative tweets
dbfs:/twitter/iphone_612,iphone_612,1,0,1
dbfs:/twitter/iphone_670,iphone_670,1,1,0
dbfs:/twitter/iphone_717,iphone_717,1,0,1
dbfs:/twitter/iphone_753,iphone_753,1,1,0
dbfs:/twitter/iphone_772,iphone_772,1,1,0
dbfs:/twitter/iphone_820,iphone_820,2,1,1
dbfs:/twitter/iphone_839,iphone_839,1,0,1
dbfs:/twitter/iphone_84,iphone_84,1,1,0
dbfs:/twitter/iphone_884,iphone_884,1,0,1
dbfs:/twitter/iphone_924,iphone_924,1,1,0
dbfs:/twitter/iphone_931,iphone_931,1,0,1
dbfs:/twitter/iphone_934,iphone_934,1,1,0
dbfs:/twitter/iphone_947,iphone_947,1,0,1
dbfs:/twitter/iphone_969,iphone_969,1,1,0
